user_id,user_name,email,status,campus_id,role_id
USER001,Usuario001,user001@iteso.mx,active,A001,ROLE001
USER002,Usuario002,user002@iteso.mx,active,A002,ROLE001
USER003,Usuario003,user003@iteso.mx,active,A003,ROLE001
USER004,Usuario004,user004@iteso.mx,active,A004,ROLE001
USER005,Usuario005,user005@iteso.mx,active,A005,ROLE001
USER006,Usuario006,user006@iteso.mx,active,A006,ROLE001
USER007,Usuario007,user007@iteso.mx,active,A007,ROLE001
USER008,Usuario008,user008@iteso.mx,active,A008,ROLE001
USER009,Usuario009,user009@iteso.mx,active,A009,ROLE001
USER010,Usuario010,user010@iteso.mx,active,A010,ROLE001
USER011,Usuario011,user011@iteso.mx,active,A011,ROLE001
USER012,Usuario012,user012@iteso.mx,active,A012,ROLE001
USER013,Usuario013,user013@iteso.mx,active,A013,ROLE001
USER014,Usuario014,user014@iteso.mx,active,A014,ROLE001
USER015,Usuario015,user015@iteso.mx,active,A015,ROLE001
USER016,Usuario016,user016@iteso.mx,active,A016,ROLE001
USER017,Usuario017,user017@iteso.mx,active,A017,ROLE001
USER018,Usuario018,user018@iteso.mx,active,A018,ROLE001
USER019,Usuario019,user019@iteso.mx,active,A019,ROLE001
USER020,Usuario020,user020@iteso.mx,active,A020,ROLE001
USER021,Usuario021,user021@iteso.mx,active,A021,ROLE001
USER022,Usuario022,user022@iteso.mx,active,A022,ROLE001
USER023,Usuario023,user023@iteso.mx,active,A023,ROLE001
USER024,Usuario024,user024@iteso.mx,active,A024,ROLE001
USER025,Usuario025,user025@iteso.mx,active,A025,ROLE001
USER026,Usuario026,user026@iteso.mx,active,A026,ROLE001
USER027,Usuario027,user027@iteso.mx,active,A027,ROLE001
USER028,Usuario028,user028@iteso.mx,active,A028,ROLE001
USER029,Usuario029,user029@iteso.mx,active,A029,ROLE001
USER030,Usuario030,user030@iteso.mx,active,A030,ROLE001
USER031,Usuario031,user031@iteso.mx,active,A031,ROLE001
USER032,Usuario032,user032@iteso.mx,active,A032,ROLE001
USER033,Usuario033,user033@iteso.mx,active,A033,ROLE001
USER034,Usuario034,user034@iteso.mx,active,A034,ROLE001
USER035,Usuario035,user035@iteso.mx,active,A035,ROLE001
USER036,Usuario036,user036@iteso.mx,active,A036,ROLE001
USER037,Usuario037,user037@iteso.mx,active,A037,ROLE001
USER038,Usuario038,user038@iteso.mx,active,A038,ROLE001
USER039,Usuario039,user039@iteso.mx,active,A039,ROLE001
USER040,Usuario040,user040@iteso.mx,active,A040,ROLE001
USER041,Usuario041,user041@iteso.mx,active,A041,ROLE001
USER042,Usuario042,user042@iteso.mx,active,A042,ROLE001
USER043,Usuario043,user043@iteso.mx,active,A043,ROLE001
USER044,Usuario044,user044@iteso.mx,active,A044,ROLE001
USER045,Usuario045,user045@iteso.mx,active,A045,ROLE001
USER046,Usuario046,user046@iteso.mx,active,A046,ROLE001
USER047,Usuario047,user047@iteso.mx,active,A047,ROLE001
USER048,Usuario048,user048@iteso.mx,active,A048,ROLE001
USER049,Usuario049,user049@iteso.mx,active,A049,ROLE001
USER050,Usuario050,user050@iteso.mx,active,A050,ROLE001
USER051,Usuario051,user051@iteso.mx,active,A051,ROLE001
USER052,Usuario052,user052@iteso.mx,active,A052,ROLE001
USER053,Usuario053,user053@iteso.mx,active,A053,ROLE001
USER054,Usuario054,user054@iteso.mx,active,A054,ROLE001
USER055,Usuario055,user055@iteso.mx,active,A055,ROLE001
USER056,Usuario056,user056@iteso.mx,active,A056,ROLE001
USER057,Usuario057,user057@iteso.mx,active,A057,ROLE001
USER058,Usuario058,user058@iteso.mx,active,A058,ROLE001
USER059,Usuario059,user059@iteso.mx,active,A059,ROLE001
USER060,Usuario060,user060@iteso.mx,active,A060,ROLE001
USER061,Usuario061,user061@iteso.mx,active,A061,ROLE001
USER062,Usuario062,user062@iteso.mx,active,A062,ROLE001
USER063,Usuario063,user063@iteso.mx,active,A063,ROLE001
USER064,Usuario064,user064@iteso.mx,active,A064,ROLE001
USER065,Usuario065,user065@iteso.mx,active,A065,ROLE001
USER066,Profesor066,user066@iteso.mx,active,D066,ROLE002
USER067,Profesor067,user067@iteso.mx,active,D067,ROLE002
USER068,Profesor068,user068@iteso.mx,active,D068,ROLE002
USER069,Profesor069,user069@iteso.mx,active,D069,ROLE002
USER070,Profesor070,user070@iteso.mx,active,D070,ROLE002
USER071,Profesor071,user071@iteso.mx,active,D071,ROLE002
USER072,Profesor072,user072@iteso.mx,active,D072,ROLE002
USER073,Profesor073,user073@iteso.mx,active,D073,ROLE002
USER074,Profesor074,user074@iteso.mx,active,D074,ROLE002
USER075,Profesor075,user075@iteso.mx,active,D075,ROLE002
USER076,Profesor076,user076@iteso.mx,active,D076,ROLE002
USER077,Profesor077,user077@iteso.mx,active,D077,ROLE002
USER078,Profesor078,user078@iteso.mx,active,D078,ROLE002
USER079,Profesor079,user079@iteso.mx,active,D079,ROLE002
USER080,Profesor080,user080@iteso.mx,active,D080,ROLE002
USER081,Admin081,user081@iteso.mx,active,AD081,ROLE003
USER082,Admin082,user082@iteso.mx,active,AD082,ROLE003
USER083,Admin083,user083@iteso.mx,active,AD083,ROLE003
USER084,Admin084,user084@iteso.mx,active,AD084,ROLE003
USER085,Admin085,user085@iteso.mx,active,AD085,ROLE003
USER086,Admin086,user086@iteso.mx,active,AD086,ROLE003
USER087,Admin087,user087@iteso.mx,active,AD087,ROLE003
USER088,Admin088,user088@iteso.mx,active,AD088,ROLE003
USER089,Admin089,user089@iteso.mx,active,AD089,ROLE003
USER090,Admin090,user090@iteso.mx,active,AD090,ROLE003
USER091,Invitado091,guest091@mail.com,active,EXT091,ROLE004
USER092,Invitado092,guest092@mail.com,active,EXT092,ROLE004
USER093,Invitado093,guest093@mail.com,active,EXT093,ROLE004
USER094,Invitado094,guest094@mail.com,active,EXT094,ROLE004
USER095,Invitado095,guest095@mail.com,active,EXT095,ROLE004
USER096,Invitado096,guest096@mail.com,active,EXT096,ROLE004
USER097,Invitado097,guest097@mail.com,active,EXT097,ROLE004
USER098,Invitado098,guest098@mail.com,active,EXT098,ROLE004
USER099,Invitado099,guest099@mail.com,active,EXT099,ROLE004
USER100,Invitado100,guest100@mail.com,active,EXT100,ROLE004
